uniqueID,laserID,shotYear,shotDay,rec_ndx,shotn,datatake,date,lat,lon,elev,elev_geoid,elev_groun,g14_rh100,g14rh50,g14_wflen,BeamCoelv,DEM_hires_,satNdx,satElevCor,ElvuseFlg,cld1_mswf,FRir_qaFla,lead,trail,MedH,MeanH,QMCH,Centroid,wflen,ht1,ht2,ht3,ht4,fslope,eratio,Senergy,h10,h20,h25,h30,h40,h50,h60,h70,h75,h80,h90,h100,stackName,stackDir,bufferSize,wrs2,1__std,1__min,1__max,1__median,1__nmad,1__mean,2__std,2__min,2__max,2__median,2__nmad,2__mean,3__std,3__min,3__max,3__median,3__nmad,3__mean,4__std,4__min,4__max,4__median,4__nmad,4__mean,5__std,5__min,5__max,5__median,5__nmad,5__mean,6__std,6__min,6__max,6__median,6__nmad,6__mean,7__std,7__min,7__max,7__median,7__nmad,7__mean,8__std,8__min,8__max,8__median,8__nmad,8__mean,9__std,9__min,9__max,9__median,9__nmad,9__mean,10__std,10__min,10__max,10__median,10__nmad,10__mean
344,L2A,2003,307,132448766,11,L2A,306.09,51.374809,-100.783203,660.1600,678.0887,652.6899,27.4600,7.4700,28.2400,4.080000,0,0,0,0,5,15,21.1353,1.0493,6.5954,10.5964,12.8298,7.4700,31.4782,27.4310,24.2832,24.2216,23.3838,0.156090,0.465821,7.542428,-1.7988,-0.8994,-0.5996,-0.2998,0.2998,1.0493,1.7988,2.6981,3.2977,4.1971,6.4455,27.4310,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,0.632201152047,1.67211914062,5.14630126953,3.03509521484,0.610088452148,3.13991499217,0.742951652074,3.61706542969,7.33001708984,5.20526123047,0.553531750488,5.31809868247,0.793398563239,654.786010742,659.007995605,656.79901123,0.807991662598,656.747969633,0.118673171286,5.05368614197,5.75636482239,5.1443567276,0.0,5.1789943889,3.63898612859,113.849395752,132.894042969,131.170089722,0.0,130.139720162,5.57812263553,15.0,35.0,26.0,0.0,27.2768361582,0.0,106.0,106.0,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,2.03389830515,18314728.0,18314728.0,18314728.0,0.0,18314725.9661
345,L2A,2003,307,132448766,12,L2A,306.09,51.373268,-100.783630,656.5100,677.3736,651.9800,23.8500,4.5300,29.7100,4.080000,0,0,0,0,5,15,17.6877,2.6981,7.6447,11.0336,12.4704,4.5300,30.2790,25.0326,20.6856,20.6332,19.7863,0.168808,0.859384,11.022519,-1.4990,-0.4497,-0.1499,0.2998,1.0493,2.2484,3.4476,4.6468,5.3963,6.1457,11.9917,25.0326,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,0.915246273245,2.08203125,6.41589355469,4.42803955078,0.879886541748,4.3134262085,0.982857264899,4.1533203125,9.28802490234,7.42721557617,1.07036951294,7.29925231934,1.12243891474,650.747009277,655.783996582,653.025024414,1.10009571533,653.149746858,1.60607236698,0.119106009603,5.83474254608,5.42332029343,0.0,5.05834452311,25.0069452036,45.0,141.843109131,125.61618042,0.0,121.226953125,7.03117177597,28.0,53.0,44.0,13.3434,40.0388888889,0.0,106.0,106.0,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,1.60000000149,18314728.0,18314728.0,18314728.0,0.0,18314726.4
346,L2A,2003,307,132448766,16,L2A,306.09,51.367096,-100.785248,652.3600,673.2030,647.8300,26.9100,4.5300,30.8100,4.090000,0,0,0,0,5,15,43.4698,1.0493,18.2873,17.5574,18.0791,4.5300,52.4636,46.3179,41.0715,40.9669,40.1721,0.037627,-0.180085,32.701874,-3.2977,-2.3983,-2.0985,-1.6489,-1.0493,-0.5996,0.0000,0.4497,0.7495,1.0493,1.9486,46.3179,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,0.76656691103,1.90966796875,5.74328613281,4.18389892578,0.846540710449,4.12573920356,1.09882761898,4.82531738281,10.3342895508,7.00653076172,1.15991008301,7.16336291575,1.05079292417,670.395996094,674.763977051,672.213500977,1.09860261841,672.286019259,3.19592751522,1.86938214302,10.3259305954,4.41607522964,3.77572717023,4.62340436663,18.4102073073,49.5247688293,92.4740371704,79.1136932373,19.8080459152,75.3921428571,1.60309903955,49.0,54.0,52.0,1.4826,51.5085714286,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,2.33142857254,18314728.0,18314728.0,18314728.0,0.0,18314725.6686
347,L2A,2003,307,132448766,20,L2A,306.09,51.360901,-100.786896,643.6600,667.2625,641.9100,19.6200,1.7500,25.7800,4.090000,0,0,0,0,5,15,17.6877,3.7474,3.5975,4.3215,5.2196,1.7500,26.6815,24.8827,23.9834,23.9223,23.0840,0.234517,33.258469,0.975753,2.6981,3.2977,3.5975,3.7474,4.1971,4.6468,4.9466,5.5462,5.8459,6.2956,8.6940,24.8827,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,6.09164754255,1.45184326172,23.248046875,5.02249145508,1.21954346924,7.18358690985,3.70247687497,3.20495605469,24.9200439453,22.8706665039,1.62005540771,21.5743982038,4.64968886284,641.773010254,662.210998535,659.491455078,0.965264538574,658.055160985,3.90083924315,3.72458457947,13.5697498322,3.72458457947,0.0,6.24889859286,5.21109990354,255.034103394,282.513427734,255.659744263,0.0,257.618940874,1.29146114956,50.0,55.0,52.0,0.0,52.1590909091,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,2.18181818351,18314728.0,18314728.0,18314728.0,0.0,18314725.8182
340,L2A,2003,307,132448766,5,L2A,306.09,51.384064,-100.780914,665.0200,683.7595,658.3300,25.6900,6.6900,30.6600,4.080000,0,0,0,0,5,15,18.7370,3.2977,12.5913,13.1447,13.8928,6.6900,30.2790,24.2832,19.1867,19.1381,18.2873,0.315800,0.874269,28.037411,-1.4990,-0.4497,-0.1499,0.2998,1.0493,2.2484,3.5975,5.3963,7.4948,10.0430,15.1395,24.2832,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,0.929216583162,2.25299072266,6.65661621094,4.62228393555,0.730712585449,4.5194756003,1.35975680593,5.41290283203,12.3764038086,7.19009399414,0.779668066406,7.57877556296,0.963111946858,676.028991699,681.815979004,678.961975098,0.951871911621,678.955957602,2.69280653122,5.0165886879,11.3745613098,5.0165886879,0.0,7.56615256198,20.3358527573,176.063934326,237.084762573,204.639038086,0.0,206.354268506,1.09131758186,52.0,59.0,55.0,1.4826,55.2458100559,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0055865921895,314729.0,314729.0,314729.0,0.0,314729.005587
341,L2A,2003,307,132448766,6,L2A,306.09,51.382519,-100.781311,655.8400,678.8544,653.4301,21.6100,2.4100,26.0000,4.080000,0,0,0,0,5,15,18.4372,1.3491,6.2956,8.1469,9.4457,2.4100,28.3303,24.7328,22.0347,21.9789,21.1353,0.126027,0.671587,24.717941,-1.3491,-0.5996,-0.2998,0.0000,0.5996,1.1992,1.9486,2.8480,3.5975,4.4969,7.1950,24.7328,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,1.15339787298,1.43383789062,5.87078857422,3.09490966797,1.32749890137,3.31598057901,1.21891239619,2.8017578125,7.7861328125,5.20910644531,1.17212633057,4.93235729587,0.50141674863,651.081970215,654.122009277,652.690002441,0.388476672363,652.751339286,5.49254926884,2.82635354996,18.2401638031,13.0896205902,3.77783355389,11.3667898996,29.4187569436,157.368774414,234.33416748,177.385894775,29.6773826477,191.969330357,8.30151006671,14.0,39.0,18.0,0.0,23.2914285714,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.00571428571129,314729.0,314729.0,314729.0,0.0,314729.005714
342,L2A,2003,307,132448766,9,L2A,306.09,51.377888,-100.782440,649.7500,674.5690,649.1600,10.2000,0.5900,13.3100,4.080000,0,0,0,0,5,15,11.9917,0.7495,4.0472,5.2829,5.9668,0.5900,17.3879,14.6898,12.8911,12.8584,11.9917,1.160191,0.214261,20.526274,-1.1992,-0.7495,-0.5996,-0.4497,0.0000,0.2998,0.5996,1.0493,1.3491,1.6489,2.3983,14.6898,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,1.20305315916,0.896301269531,5.90795898438,2.61181640625,1.2113993042,2.7934588159,1.00809169769,2.31298828125,6.63903808594,5.23413085938,0.850522302246,5.02026010257,0.690669545454,645.914978027,650.414001465,648.24597168,0.622711907959,648.327378862,1.93727603538,2.41010260582,6.92454957962,6.20505046844,1.06672938223,4.84032585916,20.2153689662,196.700561523,248.283691406,234.677947998,20.171875177,222.127721208,10.1007486401,18.0,50.0,23.0,0.0,30.393258427,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0112359550549,314729.0,314729.0,314729.0,0.0,314728.988764
343,L2A,2003,307,132448766,10,L2A,306.09,51.376347,-100.782837,657.1500,677.2039,651.8000,24.4400,5.3500,26.8100,4.080000,0,0,0,0,5,15,21.8848,0.8994,11.3921,12.6597,14.3457,5.3500,28.9299,25.1825,22.3345,22.2779,21.4351,0.277788,0.231814,9.346879,-1.6489,-0.8994,-0.5996,-0.4497,0.0000,0.2998,0.7495,1.3491,1.7988,2.3983,6.5954,25.1825,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,0.941693737965,1.91723632812,5.7392578125,3.64831542969,1.12624753418,3.6589195945,0.790054908887,3.056640625,7.06646728516,5.73742675781,0.69632611084,5.64122633501,0.77125798407,652.79498291,656.656982422,654.61151123,0.871742376709,654.603515625,0.866394305434,3.13796472549,6.59270954132,3.13796472549,0.0,3.71841916171,2.57455643056,54.9047698975,60.6439857483,54.9047698975,0.0,56.9184903232,3.52426194577,28.0,42.0,33.0,0.0,33.5056818182,0.0,106.0,106.0,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,314729.0,314729.0,314729.0,0.0,314729.0
348,L2A,2003,307,132448766,21,L2A,306.09,51.359348,-100.787292,641.8900,663.9474,638.6000,22.7000,3.2900,26.9600,4.100000,0,0,0,0,5,15,19.3366,2.2484,13.7904,13.2454,14.5061,3.2900,28.9299,23.9834,19.9362,19.8851,19.0368,0.121628,0.454522,12.534373,-1.6489,-0.7495,-0.4497,-0.2998,0.2998,0.8994,1.4990,2.3983,2.8480,3.4476,5.8459,23.9834,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,1.07484906479,2.27807617188,7.4560546875,4.86383056641,1.05466937256,4.86298046875,2.59578977481,4.88397216797,18.8877563477,8.35314941406,0.450915270996,8.88289388021,1.5517751903,652.044006348,659.689025879,656.62298584,1.43518286133,656.258085664,0.664766191907,3.12127518654,4.88848304749,3.92098212242,1.18564550314,4.08690544172,45.4332987748,123.175216675,250.385360718,201.043380737,73.154419519,181.645722987,1.40005882149,50.0,54.0,54.0,0.0,53.0169491525,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,2.03389830515,18314728.0,18314728.0,18314728.0,0.0,18314725.9661
349,L2A,2003,307,132448766,22,L2A,306.09,51.357800,-100.787689,636.7300,658.5522,633.2100,21.8600,3.5200,25.9300,4.100000,0,0,0,0,5,15,19.0368,1.3491,13.7904,12.4965,13.9167,3.5200,26.6815,22.7842,19.7863,19.7356,18.8869,0.187631,0.386629,11.347845,-1.4990,-0.7495,-0.5996,-0.2998,0.1499,0.5996,1.1992,1.9486,2.5482,3.2977,11.3921,22.7842,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,1.24252050394,2.494140625,7.5439453125,4.20489501953,0.861743151855,4.53837076823,2.2401496763,5.5927734375,13.7256469727,11.2297363281,2.59491196289,10.5282678675,1.33044865304,648.29498291,655.739013672,653.868530273,0.884456323242,653.586419753,3.56779179265,5.43638420105,16.6132602692,7.14084863663,2.52703897219,8.92644608492,13.6696309529,106.835044861,142.664199829,125.12827301,25.9987651016,121.648194739,1.43727303407,46.0,51.0,51.0,0.0,50.0451977401,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,2.03389830515,18314728.0,18314728.0,18314728.0,0.0,18314725.9661
595,L3C,2005,160,385037461,12,L3C,890.78,51.625954,-100.816406,682.5500,701.9138,675.9400,25.2600,6.6100,28.5700,3.180000,6,0,0,0,0,15,4.1971,0.8994,18.7370,17.9320,18.3767,6.6100,28.6301,25.6322,23.5337,23.4974,22.6343,0.474352,0.435961,15.074106,-1.1992,-0.5996,-0.4497,-0.1499,0.1499,0.5996,1.1992,11.8418,15.5892,17.6877,20.3859,25.6322,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,0.816058507834,1.87036132812,5.17718505859,3.66510009766,0.896491589355,3.5442432794,0.793798435909,2.96282958984,7.4375,5.23156738281,0.728812280273,5.3458367048,0.782033254022,674.728027344,678.440979004,676.48248291,0.633073095703,676.493245443,0.151590946745,1.50495171547,2.42642974854,2.23465108871,0.0,2.27359612244,19.3665124712,65.8946609497,165.858306885,83.1352767944,0.0,84.290485964,1.45264773816,38.0,49.0,38.0,0.0,38.5649717514,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.361581921577,18312128.0,18312128.0,18312128.0,0.0,18312128.3616
719,L3D,2005,314,451477268,3,L3D,1044.57,51.583752,-100.809082,671.8300,692.8162,666.9400,16.5600,4.8900,18.7900,2.980000,6,0,0,0,6,15,7.0451,0.4497,10.0430,9.6813,10.2689,4.8900,22.0347,20.0861,19.0368,19.0110,18.1374,0.301883,0.993566,8.901387,-0.7495,-0.1499,0.0000,0.1499,0.5996,1.3491,6.2956,8.9938,10.0430,10.9424,12.5913,20.0861,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,1.19751494381,1.79736328125,8.99145507812,5.0087890625,1.0444439209,5.05140183972,0.967853878328,4.80828857422,9.5810546875,7.91729736328,0.936669470215,7.95211221018,1.35545814514,676.307983398,682.447021484,679.427490234,1.62195571289,679.434570312,0.776701619518,5.00897741318,12.3061876297,7.38739013672,0.0,7.359790177,11.0743204751,56.0000801086,121.087112427,121.087112427,0.0,117.427039195,1.49306546071,57.0,64.0,62.0,1.4826,62.3559322034,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.03389830515,18314728.0,18314728.0,18314728.0,0.0,18314725.9661
718,L3D,2005,314,451477268,2,L3D,1044.57,51.582207,-100.808685,667.6900,691.3731,665.5000,13.2400,2.1900,15.3700,2.980000,6,0,0,0,6,15,13.1908,2.0985,8.0944,8.1915,8.5294,2.1900,18.2873,14.6898,11.9917,11.9755,11.0923,0.220841,0.234963,13.080843,-0.8994,-0.5996,-0.4497,-0.2998,0.0000,0.2998,0.5996,1.0493,1.3491,4.1971,8.2443,14.6898,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,2.434025267,2.05834960938,14.2947387695,4.26556396484,1.09828590088,5.11701887745,3.97995588409,3.17687988281,17.9141235352,7.44570922852,3.95720454712,9.13412620908,3.50341026986,666.406982422,678.437988281,668.604003906,1.27655262451,670.421340812,0.524628215845,1.77517366409,3.19756436348,1.97355103493,0.0,2.22441510882,153.461409422,19.1998443604,345.031280518,19.1998443604,0.0,131.434397321,1.95104158472,56.0,60.0,56.0,0.0,57.8171428571,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.33142857254,18314728.0,18314728.0,18314728.0,0.0,18314725.6686
717,L3D,2005,314,451477263,40,L3D,1044.57,51.579121,-100.807922,664.7900,690.1799,664.3199,5.6900,0.4700,7.5900,2.980000,6,0,0,0,5,15,9.2936,0.4497,4.0472,4.4323,4.7706,0.4700,12.5913,10.7925,9.8931,9.8798,8.9938,0.494016,0.130603,5.184995,-0.8994,-0.5996,-0.4497,-0.2998,-0.1499,0.1499,0.2998,0.5996,0.7495,0.8994,1.3491,10.7925,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,1.38394510492,0.584106445312,5.62902832031,2.86938476562,1.83542332764,3.03776505677,1.22725944814,2.08813476562,6.83728027344,5.25714111328,1.12869078369,4.99520320781,0.932633695624,663.405029297,667.166992188,664.406982422,0.573711181641,664.806428571,1.78577142954,1.89254713058,7.04163694382,6.60768938065,0.643370657158,5.78923793248,53.0003749922,130.940750122,285.151062012,254.235427856,45.8355191986,236.439642857,7.09999942512,44.0,62.0,57.0,7.413,52.7828571429,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0171428571339,310029.0,310029.0,310029.0,0.0,310028.982857
716,L3D,2005,314,451477263,39,L3D,1044.57,51.577576,-100.807556,660.0300,685.0068,659.1501,10.5900,0.8800,13.0300,2.980000,6,0,0,0,5,15,11.3921,0.8994,7.1950,7.2687,7.7452,0.8800,15.8890,13.1908,11.3921,11.3767,10.4927,0.121201,0.052016,9.435591,-1.1992,-0.7495,-0.5996,-0.4497,-0.1499,0.0000,0.2998,0.5996,0.7495,1.0493,1.6489,13.1908,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,0.74357549731,2.07769775391,5.65405273438,3.75845336914,0.803059918213,3.80938972024,0.932363280801,3.71063232422,10.1056518555,5.15954589844,0.637823858643,5.32649458962,0.652342874233,657.893005371,661.258972168,659.466003418,0.646375231934,659.513221154,0.996443155605,3.77313947678,6.73439073563,4.03549718857,0.388971543503,4.72411903639,36.486325642,53.0769348145,151.584915161,56.414188385,4.94781214371,74.1965140011,8.8816244785,29.0,56.0,48.0,11.8608,44.702247191,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,0.0112359550549,310029.0,310029.0,310029.0,0.0,310028.988764
715,L3D,2005,314,451477263,35,L3D,1044.57,51.571411,-100.806061,657.8800,683.1633,657.3200,6.8100,0.5600,9.5300,2.980000,6,0,0,0,5,15,10.4927,2.2484,5.2464,5.8996,6.2267,0.5600,16.1888,12.4414,9.5933,9.5804,8.6940,0.099373,0.182771,17.644936,-1.0493,-0.5996,-0.4497,-0.2998,0.0000,0.1499,0.4497,0.7495,0.8994,1.1992,2.2484,12.4414,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,1.08224193573,1.92517089844,7.818359375,2.77337646484,0.722839892578,3.23225634766,2.10992964136,2.63787841797,12.708190918,4.74591064453,0.976123425293,4.97112552062,1.46843218833,655.098999023,663.929016113,656.809997559,0.378070239258,657.18171752,9.53674312854e-08,4.33872079849,4.33872079849,4.33872079849,0.0,4.33872070313,1.1698404947e-06,37.3177680969,37.3177680969,37.3177680969,0.0,37.3177669271,2.32293690273,55.0,62.0,59.0,4.4478,57.5056179775,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,154534.289553,0.0,310029.0,0.0,0.0,142822.348315
714,L3D,2005,314,451477263,29,L3D,1044.57,51.562145,-100.803802,676.2400,697.6033,671.7800,18.4900,4.4600,22.3800,2.980000,6,0,0,0,5,15,17.0881,1.4990,11.2422,11.0953,11.6322,4.4600,22.9341,19.1867,16.3387,16.3166,15.4393,0.333550,0.584704,12.108501,-1.3491,-0.5996,-0.2998,-0.1499,0.4497,1.0493,2.0985,7.4948,9.4434,10.9424,13.6405,19.1867,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,1.56647137502,0.872375488281,8.294921875,4.83312988281,1.59661831055,4.92155317827,1.35813921367,4.85119628906,10.2562255859,8.76232910156,1.4969880249,8.51612382369,2.36193661476,683.794006348,690.974975586,687.674499512,3.14532178345,687.60146234,0.247536602908,4.5541510582,5.0514421463,4.5541510582,0.0,4.77933919655,49.1220702257,246.48626709,345.170532227,246.48626709,0.0,291.173478037,3.60307044936,55.0,63.0,61.0,2.9652,58.9664804469,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,363.262569904,2018314752.0,2018314752.0,2018314752.0,0.0,2018314388.74
713,L3D,2005,314,451477263,25,L3D,1044.57,51.555969,-100.802277,673.2800,694.4401,668.6301,18.2200,4.6500,21.7800,2.980000,6,0,0,0,5,15,16.9382,1.1992,11.0923,10.8377,11.3630,4.6500,21.8848,18.8869,16.7884,16.7656,15.8890,0.697113,0.744059,27.674671,-0.8994,-0.4497,-0.1499,0.0000,0.4497,1.0493,3.1478,8.6940,10.0430,11.2422,13.6405,18.8869,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,1.09015106918,2.82568359375,7.357421875,4.91604614258,1.30220674438,4.84468460083,2.02654798662,6.01831054688,14.913269043,8.3625793457,1.57376940308,8.98920610216,1.77288814345,679.278991699,686.979980469,682.989013672,2.00002595215,682.768914474,2.74852774252,3.72524428368,9.93248748779,4.96296215057,1.83504050946,6.85418906908,75.5793085294,92.8702316284,351.006103516,333.622497559,22.919942688,316.960608322,1.09554883234,56.0,66.0,61.0,1.4826,61.0449438202,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,350.921348333,2018314752.0,2018314752.0,2018314752.0,0.0,2018314401.08
712,L3D,2005,314,451477263,24,L3D,1044.57,51.554428,-100.801910,677.3700,698.7066,672.9000,21.9700,4.4700,24.4700,2.980000,6,0,0,0,5,15,17.5378,1.9486,13.7904,13.6546,13.9261,4.4700,25.4823,19.4865,14.3900,14.3706,13.4906,0.321490,-0.155010,36.440720,-2.9979,-2.0985,-1.7988,-1.4990,-0.8994,-0.4497,0.0000,0.4497,0.7495,1.0493,2.3983,19.4865,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,6.79826972566,0.0,21.9038085938,4.31433105469,2.10544764404,8.09261558796,6.20831129958,2.68719482422,27.1051635742,20.3748474121,2.92556506348,18.0879391187,5.52532173679,674.008972168,695.606018066,690.719482422,1.24542381592,689.218299279,3.06223926841,8.67227554321,17.0405673981,15.2042293549,2.72255478287,14.2025249934,20.1146892669,260.532562256,304.92401123,294.9609375,14.7712531128,285.072695975,0.960019842965,48.0,57.0,53.0,0.0,53.2994350282,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,678640707.21,0.0,2018314752.0,2018314752.0,0.0,1756047672.41
711,L3D,2005,314,451477263,22,L3D,1044.57,51.551350,-100.801117,661.0300,685.4800,659.6801,14.5500,1.3500,16.6200,2.990000,6,0,0,0,5,15,17.6877,0.2998,4.0472,6.8439,8.4154,1.3500,21.4351,19.4865,18.4372,18.4121,17.5378,0.074909,0.070165,12.045916,-1.0493,-0.7495,-0.5996,-0.4497,-0.1499,0.1499,0.2998,0.5996,0.7495,1.0493,1.7988,19.4865,WV01_20120817_102001001CD26500_102001001C4C8800,/att/gpfsfs/briskfs01/ppl/pmontesa/userfs02/projects/3dsi/stacks/Out_Stacks2/WV01_20120817_102001001CD26500_102001001C4C8800,15,034024;033024,4.04029874941,0.797485351562,22.1171875,4.67333984375,1.78511048584,5.73252203526,7.7997507691,1.18157958984,28.3705444336,8.25289916992,4.782887146,10.9372049967,7.10134961202,658.685974121,681.145996094,660.156494141,1.96518702393,663.789257812,2.26981686155,9.94056510925,15.2684650421,9.94056510925,0.0,11.7910742187,58.8789358472,176.899353027,328.824645996,328.824645996,0.0,289.576830357,4.48343891336,53.0,64.0,59.0,7.413,59.2857142857,None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
